Date,DP,PE,BM,CAPE,PCA.price,BY,DEF,TERM,CAY,SIM,VRP,IC,BDI,NOS,CPI,PCR,MA,PCA.tech,OIL,SI,futureRet1M,futureRet3M,futureRet6M,futureRet1Y
6/1/1990,NA,16.65,0.47016785,19.42915229,NA,0,0.9,0.515,0.016120952,0.776923077,NA,0,0,0.0169406,0,-2.059091845,1,2.229210216,-0.204581533,1.2753,-0.008295131,-0.116912586,-0.095993308,0.070867238
6/4/1990,NA,16.8444,0.464727205,19.65599337,NA,-0.0137662,0.91,0.492,0.016120952,0.769230769,0,0,0.000727774,0.0169406,0,-2.038942335,1,2.229210216,-0.12024338,1.2753,-0.032419723,-0.124504677,-0.110180679,0.054708794
6/5/1990,NA,16.8096,0.465766185,19.61533317,NA,0.009079596,0.95,0.505,0.016120952,0.761538462,0,0,0.002871966,0.0169406,0,-2.035081186,1,2.225837106,-0.22697314,1.2753,-0.022674957,-0.134622977,-0.112129318,0.055954572
6/6/1990,NA,16.7325,0.467945718,19.52545275,NA,0.004994766,0.96,0.513,0.016120952,0.753846154,0,0,0.000536399,0.0169406,0,-2.043098345,1,2.225837106,-0.205494631,1.2753,-0.01501795,-0.120897811,-0.10406441,0.053689315
6/7/1990,NA,16.6495,0.469395419,19.42861729,NA,-0.002955046,0.93,0.486,0.016120952,0.746153846,0,0,-0.00313082,0.0169406,0,-2.040079314,0,2.225837106,-0.203393712,1.2753,-0.018509783,-0.121414156,-0.106569807,0.054862574
6/8/1990,NA,16.84,0.47519483,19.19128586,NA,0.017743603,0.95,0.512,0.016120952,0.738461538,0,0,-0.016807803,0.0169406,0,-2.047847826,0,2.225837106,-0.187473143,1.2753,0.007000612,-0.110948537,-0.082846016,0.056155864
6/11/1990,NA,16.9771,0.47025629,19.34771955,NA,0.021380485,0.97,0.497,0.016120952,0.730769231,0,0,-0.026151433,0.0169406,0,-2.037953962,0,2.225837106,-0.184103559,1.2753,0.010480517,-0.11439443,-0.093530938,0.045779407
6/12/1990,NA,17.194,0.464058657,19.5951099,NA,0.025939931,0.95,0.491,0.016120952,0.723076923,0,0,-0.032114999,0.0169406,0,-2.041171139,1,2.225837106,-0.135457007,1.2753,0.002890018,-0.139222839,-0.1139066,0.03961444
6/13/1990,NA,17.1306,0.46578788,19.52309501,NA,-0.059057066,0.93,0.481,0.016120952,0.715384615,0,0,-0.038531067,0.0169406,0,-2.044117051,1,2.225837106,-0.147792136,1.2753,0.01103779,-0.141257991,-0.112664614,0.031693031
6/14/1990,NA,17.0367,0.468055231,19.41630133,NA,-0.089536413,1.01,0.451,0.016120952,0.707692308,0,0,-0.044652111,0.0169406,0,-2.039043462,0,2.225837106,-0.15839485,1.2753,0.012650425,-0.132799464,-0.094883156,0.039787566
6/15/1990,NA,16.84,0.468055231,19.38688703,NA,-0.002494055,1,0.511,0.016120952,0.7,0,0,-0.051976183,0.0169406,0,-2.034258111,0,2.225837106,-0.164922777,1.2753,0.003603211,-0.130218472,-0.094456338,0.052024613
6/18/1990,NA,16.5602,0.476258513,19.06488922,NA,0.036879596,0.99,0.574,0.016120952,0.692307692,0,0,-0.065656317,0.0169406,0,-2.05101339,0,2.225837106,-0.190236616,1.2753,0.023374091,-0.119760443,-0.077943366,0.063113709
6/19/1990,NA,16.634,0.473978576,19.14995779,NA,0.049046606,0.98,0.503,0.016120952,0.684615385,0,0,-0.074302226,0.0169406,0,-2.036983965,0,2.22168904,-0.243259354,1.2753,0.008721308,-0.140509844,-0.077463301,0.054608851
6/20/1990,NA,16.6632,0.472902677,19.18374254,NA,0.080676428,0.99,0.527,0.016120952,0.676923077,0,0,-0.079614953,0.0169406,0,-2.034680722,0,2.22168904,-0.267879445,1.2753,-0.010610253,-0.142779579,-0.084811323,0.043565096
6/21/1990,NA,16.7268,0.470987189,19.25706,NA,0.056713232,0.97,0.495,0.016120952,0.669230769,0,0,-0.083226993,0.0169406,0,-2.033169603,0,2.22168904,-0.185366895,1.2753,-0.013068066,-0.168442126,-0.085743635,0.040636664
6/22/1990,NA,16.57,0.477714613,18.9879811,NA,0.041016621,0.96,0.485,0.016120952,0.661538462,0,0,-0.0844464,0.0169406,0,-2.05692558,0,2.22168904,-0.15855921,1.274923742,0.004659527,-0.142384741,-0.07943096,0.060904277
6/25/1990,NA,16.4245,0.481927711,18.82146952,NA,0.125878743,0.98,0.553,0.016120952,0.653846154,0,0,-0.083358106,0.0169406,0,-2.071083549,0,2.22168904,-0.16412868,1.274553483,0.01016642,-0.144002991,-0.069305145,0.051528855
6/26/1990,NA,16.4129,0.482067104,18.80828033,NA,0.072644968,0.98,0.469,0.016120952,0.646153846,0,0,-0.082332238,0.0169406,0,-2.064286145,0,2.22168904,-0.158309382,1.274189127,0.003912124,-0.156791024,-0.064042517,0.051456605
6/27/1990,NA,16.5565,0.477874415,18.97299263,NA,0.037016297,0.97,0.457,0.016120952,0.638461538,0,0,-0.090568651,0.0169406,0,-2.0470826,0,2.22168904,-0.184018757,1.273830581,0.001153808,-0.148763591,-0.08423528,0.045279018
6/28/1990,NA,16.6726,0.474540882,19.10618729,NA,-0.011783575,0.98,0.452,0.016120952,0.630769231,0,0,-0.100056709,0.0169406,0,-2.049780788,0,2.22168904,-0.167637005,1.27347775,-0.004146942,-0.127116788,-0.105226929,0.045825812
6/29/1990,NA,16.39,0.477532114,19.12703224,NA,-0.047968889,0.98,0.42,0.016120952,0.623076923,0,0,-0.111556217,0.0169406,0,-2.045979812,0,2.22168904,-0.182126263,1.273130545,-0.007007344,-0.127349767,-0.109147728,0.036044386
7/2/1990,NA,16.4596,0.482881839,19.2082469,NA,-0.050117709,0.98,0.43,0.02093611,0.615384615,0,0,-0.11173301,0.0191804,0,-2.043316534,0,2.22168904,-0.194015278,1.272788875,-0.022672626,-0.143747177,-0.130856947,0.049857096
